許可證號碼,普通名稱,廠牌名稱,劑型,含量,Under Permit ,混合,廠商名稱,國外原製造廠,有效日期,備註,標示,條碼,使用範圍
農藥製              00001,快得保淨,好菌淨,WP  可溼性粉劑,75(%) (w/w),,A,好速化學股份有限公司,,117-10-11,,標示,條碼,使用範圍
農藥製              00007,丁基拉草,草滅除,GR  粒劑,5(%) (w/w),,,瑞芳植物保護股份有限公司,,117-10-01,,標示,條碼,使用範圍
農藥製              00035,撲殺熱,興農掃熱丹,GR  粒劑,6(%) (w/w),,,興農股份有限公司,,117-10-17,,標示,條碼,使用範圍
農藥製              00036,撲殺熱,,GR  粒劑,4(%) (w/w),,,興農股份有限公司,,117-10-17,,標示,條碼,使用範圍
農藥製              00040,培丹,天霸丹,SP  水溶性粉劑,50(%) (w/w),,,正農化學股份有限公司,,117-10-17,,標示,條碼,使用範圍
農藥製              00041,培丹,天霸丹,GR  粒劑,4(%) (w/w),,,正農化學股份有限公司,,117-10-17,,標示,條碼,使用範圍
農藥製              00045,毆殺松,金谷粉,SP  水溶性粉劑,75(%) (w/w),,,正農化學股份有限公司,,117-10-17,,標示,條碼,使用範圍
農藥製              00046,愛殺松,快殺松,EC  乳劑,46.5(%) (w/w),,,正農化學股份有限公司,,117-10-17,,標示,條碼,使用範圍
農藥製              00050,四氯保淨,多寶,WP  可溼性粉劑,70(%) (w/w),,A,惠光股份有限公司,,117-10-26,,標示,條碼,使用範圍
農藥製              00063,加保利,旺立強,WP  可溼性粉劑,85(%) (w/w),,,聯利農業科技股份有限公司,,118-01-09,,標示,條碼,使用範圍
農藥製              00069,百滅寧,,EC  乳劑,10(%) (w/w),,,洽益化學股份有限公司,,118-02-02,,標示,條碼,使用範圍
農藥製              00081,礦物油,,EC  乳劑,95(%) (w/w),,,台灣正豐植保股份有限公司,,118-03-03,,標示,條碼,使用範圍
農藥製              00085,馬拉松,,EC  乳劑,50(%) (w/w),,,台灣正豐植保股份有限公司,,118-03-03,,標示,條碼,使用範圍
農藥製              00086,百滅寧,猛虎,EC  乳劑,10(%) (w/w),,,台灣正豐植保股份有限公司,,118-03-03,,標示,條碼,使用範圍
農藥製              00093,撲滅松,速克蟲,EC  乳劑,50(%) (w/w),,,聯利農業科技股份有限公司,,118-01-29,,標示,條碼,使用範圍
